Description,Sensitivity
OVER $500,Medium
TO VEHICLE,Medium
SOLICIT ON PUBLIC WAY,Medium
FINANCIAL ID THEFT:$300 &UNDER,Medium
AGGRAVATED: HANDGUN,High
SIMPLE,Low
$500 AND UNDER,Low
SIMPLE,Low
UNLAWFUL ENTRY,Medium
TO PROPERTY,Medium
FINANCIAL ID THEFT:$300 &UNDER,Medium
FINANCIAL ID THEFT: OVER $300,Medium
DOMESTIC BATTERY SIMPLE,Medium
$500 AND UNDER,Low
OVER $500,Medium
SIMPLE,Low
SIMPLE,Low
AGGRAVATED: OTHER DANG WEAPON,High
OVER $500,Medium
AGGRAVATED: HANDGUN,High
DOMESTIC BATTERY SIMPLE,Medium
STRONGARM - NO WEAPON,Medium
SIMPLE,Low
PUBLIC INDECENCY,Medium
TELEPHONE THREAT,Medium
AGGRAVATED:KNIFE/CUTTING INSTR,High
POSS: CRACK,Medium
SIMPLE,Low
SOLICIT ON PUBLIC WAY,Medium
FORCIBLE ENTRY,Medium
$500 AND UNDER,Low
$500 AND UNDER,Low
FORCIBLE ENTRY,Medium
TO PROPERTY,Medium
SIMPLE,Low
$500 AND UNDER,Low
VIOLATE ORDER OF PROTECTION,Medium
GAME/DICE,Low
CREDIT CARD FRAUD,Medium
ARMED: OTHER DANGEROUS WEAPON,High
SIMPLE,Low
HARASSMENT BY TELEPHONE,Medium
HARASSMENT BY TELEPHONE,Medium
AGGRAVATED:KNIFE/CUTTING INSTR,High
SIMPLE,Low
ARMED: HANDGUN,High
SIMPLE,Low
ATTEMPT FORCIBLE ENTRY,Medium
BOGUS CHECK,Medium
AGGRAVATED:KNIFE/CUTTING INSTR,High
SIMPLE,Low
TO VEHICLE,Medium
SIMPLE,Low
SIMPLE,Low
TO PROPERTY,Medium
FALSE POLICE REPORT,Medium
SIMPLE,Low
POSS: CRACK,Medium
$500 AND UNDER,Low
FORCIBLE ENTRY,Medium
UNLAWFUL POSS OF HANDGUN,Medium
AGGRAVATED PO: OTHER DANG WEAP,High
TO PROPERTY,Medium
TO LAND,Medium
SIMPLE,Low
POSS: CANNABIS 30GMS OR LESS,Low
TO PROPERTY,Medium
AGGRAVATED: OTHER FIREARM,High
TO VEHICLE,Medium
$500 AND UNDER,Low
TO VEHICLE,Medium
AGGRAVATED,High
POSS: CRACK,Medium
$500 AND UNDER,Low
FORCIBLE ENTRY,Medium
THEFT OF LABOR/SERVICES,Medium
AUTOMOBILE,Medium
SIMPLE,Low
POSS: CANNABIS 30GMS OR LESS,Low
UNLAWFUL ENTRY,Medium
AGGRAVATED:KNIFE/CUTTING INSTR,High
TO LAND,Medium
INSTITUTIONAL VANDALISM,Medium
FROM BUILDING,Medium
AGGRAVATED: OTHER DANG WEAPON,High
$500 AND UNDER,Low
FORCIBLE ENTRY,Medium
